repeat	model	auc	brier
78	clinical_pair	0.5937062937062938	0.18778234846141045
78	clinical_lineages	0.5972027972027971	0.1945466377361363
78	clinical_lineages_pair	0.6685314685314685	0.1863172240400869
79	clinical	0.4951048951048951	0.19557624205053722
79	clinical_pair	0.620979020979021	0.18484753420581299
79	clinical_lineages	0.5678321678321678	0.19686749719939853
79	clinical_lineages_pair	0.6699300699300699	0.1849762567332432
80	clinical	0.4608391608391608	0.1985141332473687
80	clinical_pair	0.5531468531468532	0.19192586843604265
80	clinical_lineages	0.5286713286713287	0.20072356320778334
80	clinical_lineages_pair	0.6181818181818182	0.1899987006835897
81	clinical	0.45594405594405596	0.19539629868825625
81	clinical_pair	0.5958041958041957	0.1867819514121899
81	clinical_lineages	0.5244755244755245	0.19673019411687068
81	clinical_lineages_pair	0.6475524475524476	0.18545907783226373
82	clinical	0.444055944055944	0.20142990365006577
82	clinical_pair	0.5678321678321678	0.19333646913912547
82	clinical_lineages	0.4909090909090909	0.20642507528470555
82	clinical_lineages_pair	0.6083916083916083	0.19514523412606896
83	clinical	0.44755244755244755	0.19930837238170707
83	clinical_pair	0.5377622377622377	0.1919888883013375
83	clinical_lineages	0.5083916083916085	0.21069702726515396
83	clinical_lineages_pair	0.5895104895104895	0.2042763915590453
84	clinical	0.5076923076923077	0.19304703249025962
84	clinical_pair	0.6132867132867134	0.1854741978877769
84	clinical_lineages	0.5300699300699301	0.19842091826980796
84	clinical_lineages_pair	0.6615384615384615	0.18679384081129732
85	clinical	0.49090909090909085	0.195286867478857
85	clinical_pair	0.5657342657342657	0.19070363022298675
85	clinical_lineages	0.5895104895104895	0.1977564890023272
85	clinical_lineages_pair	0.6566433566433567	0.1901156601074398
86	clinical	0.3951048951048951	0.20635649833222555
86	clinical_pair	0.5475524475524476	0.19363991815006212
86	clinical_lineages	0.465034965034965	0.2114523083829346
86	clinical_lineages_pair	0.5951048951048951	0.19738576842620947
87	clinical	0.5335664335664336	0.18998465390392702
87	clinical_pair	0.6181818181818182	0.18475520131238082
87	clinical_lineages	0.5524475524475524	0.1941620742704578
87	clinical_lineages_pair	0.6461538461538461	0.18999299424554583
88	clinical	0.5027972027972027	0.1946471100368087
88	clinical_pair	0.6111888111888112	0.1835025576697424
88	clinical_lineages	0.5384615384615384	0.20341404134790136
88	clinical_lineages_pair	0.6461538461538461	0.19474304489716898
89	clinical	0.493006993006993	0.19498928298625204
89	clinical_pair	0.5874125874125874	0.18847096038898017
89	clinical_lineages	0.5475524475524475	0.19589530768189078
89	clinical_lineages_pair	0.6734265734265734	0.18467962539211674
90	clinical	0.44265734265734263	0.20439801673248328
90	clinical_pair	0.5748251748251748	0.1912981529314426
90	clinical_lineages	0.4636363636363636	0.21588136947795097
90	clinical_lineages_pair	0.6125874125874127	0.1941697063729821
91	clinical	0.44475524475524475	0.1977441491599767
91	clinical_pair	0.5706293706293706	0.1937833373530371
91	clinical_lineages	0.5167832167832167	0.20171830426017498
91	clinical_lineages_pair	0.644055944055944	0.19528633351439778
92	clinical	0.5517482517482517	0.18845257520829412
92	clinical_pair	0.6160839160839161	0.18728285925397978
92	clinical_lineages	0.5706293706293706	0.19267076244462533
92	clinical_lineages_pair	0.6517482517482518	0.18992191394626895
93	clinical	0.41818181818181815	0.20085127662367913
93	clinical_pair	0.5685314685314685	0.1954050828104031
93	clinical_lineages	0.48601398601398593	0.20261256260891164
93	clinical_lineages_pair	0.6307692307692307	0.19252170087303372
94	clinical	0.5237762237762238	0.1935509567677093
94	clinical_pair	0.5853146853146853	0.18973580702692225
94	clinical_lineages	0.5552447552447553	0.1969245670981552
94	clinical_lineages_pair	0.6363636363636364	0.18754020747296074
95	clinical	0.448951048951049	0.2002125260537159
95	clinical_pair	0.5797202797202797	0.1873176033728155
95	clinical_lineages	0.49230769230769234	0.20560752047331868
95	clinical_lineages_pair	0.6335664335664335	0.18893311639068125
96	clinical	0.47902097902097895	0.19526213606943454
